,,Unique,Unique-values,use case from drugbank,
Acetopromazine maleate salt,,Atovaquone,Atovaquone,antimicrobial,
Acetopromazine maleate salt,,Auranofin,Auranofin,rheumatoid arthritis,
Actinomycin,,Avermectin B1a,Avermectin B1a,antiparasitic,
Adalimumab,,Azacytidine-5,Azacytidine-5,anticancer,
Adalimumab,,Azaguanine-8,Azaguanine-8,anticancer,
Albendazole,,Azathioprine,Azathioprine,rheumatoid arthritis,
Albendazole,,Azelastine HCl,Azelastine HCl,antihistamine,
Alexidine dihydrochloride,,Azithromycin,Azithromycin,antibiotic,
Alexidine dihydrochloride,,Azlocillin,Azlocillin,antibiotic,
Alexidine dihydrochloride,,Azlocillin sodium salt,Azlocillin sodium salt,antibiotic,
Alexidine dihydrochloride,,Aztreonam,Aztreonam,antibiotic,
Alexidine dihydrochloride,,Bacampicillin hydrochloride,Bacampicillin hydrochloride,antibiotic,
Alexidine dihydrochloride,,Bacitracin,Bacitracin,antibiotic,
Alexidine dihydrochloride,,Benazepril,Benazepril,antibiotic,
Alexidine dihydrochloride,,Benfluorex hydrochloride,Benfluorex hydrochloride,hypolipidemic  anoretic,
Alexidine dihydrochloride,,Benzathine benzylpenicillin,Benzathine benzylpenicillin,antibiotic,
Alexidine dihydrochloride,,Benzbromarone,Benzbromarone,gout,
Alexidine dihydrochloride,,Benzethonium chloride,Benzethonium chloride,antimicrobial,
Alexidine dihydrochloride,,Benzthiazide,Benzthiazide,hypertension,
Alexidine dihydrochloride,,Benzydamine hydrochloride,Benzydamine hydrochloride,NSAIDs,
Alexidine dihydrochloride,,Benzylpenicillin sodium,Benzylpenicillin sodium,antibiotic,
Alexidine dihydrochloride,,Bepridil hydrochloride,Bepridil hydrochloride,anti angina,
Alexidine dihydrochloride,,Beta blockers,Beta blockers,CVD,
Alexidine dihydrochloride,,Betamethasone acetate,Betamethasone acetate,corticosteroid-anti inflammtory ,
Alexidine dihydrochloride,,Betamethasone valerate,Betamethasone valerate,corticosteroid-anti inflammtory ,
Alexidine dihydrochloride,,Betaxolol hydrochloride,Betaxolol hydrochloride,beta blocker,
Alexidine dihydrochloride,,Bezafibrate,Bezafibrate,anti-lipid fibrate,
Alexidine dihydrochloride,,Bicalutamide,Bicalutamide,anti-cancer,
Alexidine dihydrochloride,,Bifonazole,Bifonazole,anti fungal,
Alexidine dihydrochloride,,Biperiden,Biperiden,anti-parkinson,
Alexidine dihydrochloride,,Bisacodyl,Bisacodyl,laxative,
Alexidine dihydrochloride,,Bosentan,Bosentan,hypertension,
Alexidine dihydrochloride,,Brivudine,Brivudine,antiherpes,
Alexidine dihydrochloride,,Bromocriptine mesylate,Bromocriptine mesylate,antiPD,
Alexidine dihydrochloride,,Bromperidol,Bromperidol,antipyschotic,
Alexidine dihydrochloride,,Budesonide,Budesonide,corticosteroid-antiinflammatory,
Alexidine dihydrochloride,,Bufexamac,Bufexamac,NSAIDs,
Alexidine dihydrochloride,,Bupropion,Bupropion,anti-depression,
Alexidine dihydrochloride,,Butamben,Butamben,anesthetic,
Alexidine dihydrochloride,,Butenafine Hydrochloride,Butenafine Hydrochloride,antifungal,
Alexidine dihydrochloride,,Butoconazole nitrate,Butoconazole nitrate,antifungal,
Alexidine dihydrochloride,,Butyric Acid,Butyric Acid,-,
Alexidine dihydrochloride,,Camptothecin,Camptothecin,anticancer,
Alexidine dihydrochloride,,Camylofine dihydrochloride,Camylofine dihydrochloride,antimuscarinic,
Alfacalcidol,,Capecitabine,Capecitabine,anticancer,
Alfacalcidol,,Carbadox,Carbadox,antibacterial- vetertinary,
Alfacalcidol,,Carbenoxolone disodium salt,Carbenoxolone disodium salt,antiulcer,
Alfacalcidol,,Carbetapentane citrate,Carbetapentane citrate,anesthetic,
Alfacalcidol,,Carboxymethylcellulose,Carboxymethylcellulose,-,
Alfacalcidol,,Carisoprodol,Carisoprodol,beta blocker,
Alfacalcidol,,Carvedilol,Carvedilol,beta blocker,
Alfuzosin,,CB1954,CB1954,anticancer,
Altretamine,,Cefaclor,Cefaclor,antibiotic,
Alverine citrate salt,,Cefaclor hydrate,Cefaclor hydrate,antibiotic,
Amantadine,,Cefadroxil,Cefadroxil,antibiotic,
Amantadine,,Cefazolin sodium salt,Cefazolin sodium salt,antibiotic,
Amantadine,,Cefdinir,Cefdinir,antibiotic,
Amantadine,,Cefepime,Cefepime,antibiotic,
"Amethopterin (R,S)",,Cefepime hydrochloride,Cefepime hydrochloride,antibiotic,
"Amethopterin (R,S)",,Cefixime,Cefixime,antibiotic,
"Amethopterin (R,S)",,Cefmetazole sodium salt,Cefmetazole,antibiotic,
"Amethopterin (R,S)",,Cefoperazone,Cefmetazole sodium salt,antibiotic,
"Amethopterin (R,S)",,Cefoperazone dihydrate,Cefoperazone,antibiotic,
"Amethopterin (R,S)",,Ceforanide,Cefoperazone dihydrate,antibiotic,
"Amethopterin (R,S)",,Cefotaxime,Ceforanide,antibiotic,
"Amethopterin (R,S)",,Cefotaxime sodium salt,Cefotaxime,antibiotic,
"Amethopterin (R,S)",,Cefotetan,Cefotaxime sodium salt,antibiotic,
"Amethopterin (R,S)",,Cefotiam hydrochloride,Cefotetan,antibiotic,
"Amethopterin (R,S)",,Cefoxitin,Cefotiam hydrochloride,antibiotic,
"Amethopterin (R,S)",,Cefoxitin sodium salt,Cefoxitin,antibiotic,
Amikacin hydrate,,Cefpodoxime Proxetil,Cefoxitin ,antibiotic,
Amikacin hydrate,,Cefsulodin sodium salt,Cefoxitin sodium salt,antibiotic,
Amikacin hydrate,,Ceftaroline,Cefpodoxime Proxetil,antibiotic,
Amikacin hydrate,,Ceftaroline/avibactam,Cefsulodin,antibiotic,
Amikacin hydrate,,Ceftazidime pentahydrate,Cefsulodin sodium salt,antibiotic,
Amikacin hydrate,,Ceftazidime/avibactam,Ceftaroline,antibiotic,
Amikacin hydrate,,Ceftibuten,Ceftaroline/avibactam,antibiotic,
Amikacin hydrate,,Ceftriaxone,Ceftazidime pentahydrate,antibiotic,
Amikacin hydrate,,Cefuroxime,Ceftazidime/avibactam,antibiotic,
Amikacin hydrate,,Cefuroxime axetil,Ceftibuten,antibiotic,
Amikacin hydrate,,Cefuroxime sodium salt,Ceftriaxone,antibiotic,
Amiodarone,,"Cephalosporanic acid, 7-amino",Cefuroxime,antibiotic,
Amiodarone hydrochloride,,Cephalothin sodium salt,Cefuroxime ,antibiotic,
Amiodarone hydrochloride,,Cephazolin,Cefuroxime axetil,antibiotic,
Amiodarone hydrochloride,,Cetirizine,Cefuroxime sodium salt,antibiotic,
Amiodarone hydrochloride,,Chlorcyclizine hydrochloride,"Cephalosporanic acid, 7-amino",antibiotic,
Amiodarone hydrochloride,,Chlormezanone,Cephalothin sodium,antibiotic,
Amiodarone hydrochloride,,Chlorotrianisene,Cephalothin sodium salt,antibiotic,
Amiodarone hydrochloride,,Chloroxine,Cephazolin,antibiotic,
Amiodarone hydrochloride,,Chlorpheniramine maleate,Cetirizine,antihistamine,
Amiodarone hydrochloride,,Chlorpromazine hydrochloride,Chlorcyclizine hydrochloride,antihistamine,
Amiodarone hydrochloride,,Chlorprothixene hydrochloride,Chlormezanone,antianxiety,
Amlodipine,,Chlortetracycline hydrochloride,Chlorotrianisene,non steroidal estrogen,
Amlodipine,,Cilnidipine,Chloroxine,antibiotic,
Amodiaquin dihydrochloride dihydrate,,Cimetidine,Chlorpheniramine maleate,antihistamine,
Amodiaquin dihydrochloride dihydrate,,Cinnarizine,Chlorpromazine hydrochloride,antipsychotic,
Amodiaquin dihydrochloride dihydrate,,Cinoxacin,Chlorprothixene hydrochloride,antipsychotic,
Amoxapine,,Ciprofloxacin,Chlortetracycline hydrochloride,antibiotic,
Amoxapine,,Ciprofloxacin hydrochloride monohydrate,Cilnidipine,antihypertension,
Amoxicillin,,Cladribine,Cimetidine,antihistamine,
Amoxicillin,,Clarithromycin,Cinnarizine,antihistamine,
Amoxicillin,,Clarithromycin plus metronidazole,Cinoxacin,antibiotic,
Amoxicillin,,Clavulanate potassium salt,Ciprofloxacin,antibiotic,
Amoxicillin,,Clemastine fumarate,Ciprofloxacin hydrochloride monohydrate,antibiotic,
Amoxicillin,,Clemizole,Cladribine,antimetabolite-multiple sclerosis,
Amoxicillin,,Clemizole hydrochloride,Clarithromycin,antibiotic,
Amoxicillin,,Clinafloxacin,Clarithromycin plus metronidazole,antibiotic,
Amoxicillin,,Clindamycin hydrochloride,Clavulanate potassium salt,antibiotic,
Amoxicillin,,Clioquinol,Clemastine fumarate,antihistamine,
Amoxicillin,,Clofarabine,Clemizole,antiallergy,
Amoxicillin,,Clofilium tosylate,Clemizole hydrochloride,antiallergy,
Amoxicillin,,"Clomiphene citrate (Z,E)",Clinafloxacin,antibiotic,
Amoxicillin,,Clomipramine hydrochloride,Clindamycin hydrochloride,antibiotic,
Amoxicillin,,Clonidine,Clioquinol,antifungal,
Amoxicillin,,Clopidogrel sulfate,Clofarabine,anticancer,
Amoxicillin,,Closantel,Clofilium tosylate,anticancer,
Amoxicillin,,Clotrimazole,"Clomiphene citrate (Z,E)",ovulation,
Amoxicillin,,Cloxacillin sodium salt,Clomipramine hydrochloride,antidepressant,
Amoxicillin,,Colistin sulfate,Clonidine,antihypertensive,
Amoxicillin,,Corticosteroids,Clopidogrel sulfate,antiplatelet,
Amoxicillin,,CTLA-4 blockade,Closantel,antiparasitic,
Amoxicillin,,Cyclobenzaprine,Clotrimazole,antifungal,
Amoxicillin,,Cyclobenzaprine hydrochloride,Cloxacillin sodium salt,antibiotic,
Amoxicillin,,Cyclopenthiazide,Colistin sulfate,antibiotic,
Amoxicillin,,Cyclophosphamide,Corticosteroids,-,
Amoxicillin,,Cyclosporin A,CTLA-4 blockade,anticancer,
Amoxicillin,,Cyproheptadine hydrochloride,Cyclobenzaprine,antibiotic,
Amoxicillin,,Cyproterone acetate,Cyclobenzaprine hydrochloride,muscle relaxant,
Amoxicillin,,Cytarabine,Cyclopenthiazide,diuretic,
Amoxicillin,,Dacarbazine,Cyclophosphamide,anticancer,
Amoxicillin,,Danazol,Cyclosporin A,immunosuppressant,
Amoxicillin,,Dantrolene sodium salt,Cyproheptadine hydrochloride,antihistamine,
Amoxicillin,,Darifenacin hydrobromide,Cyproterone acetate,"anti-androgen, prostate cancer",
Amoxicillin,,Dasatinib,Cytarabine,anticancer,
Amoxicillin,,Daunorubicin,Dacarbazine,anticancer,
Amoxicillin,,Daunorubicin hydrochloride,Danazol,anticancer,
Amoxicillin,,Deflazacort,Dantrolene sodium salt,muscle relaxant,
Amoxicillin plus metronidazole,,Demecarium bromide,Darifenacin hydrobromide,urinary incontinence,
Ampicillin trihydrate,,Demeclocycline hydrochloride,Dasatinib,anticancer,
Ampicillin trihydrate,,Deptropine citrate,Daunorubicin,anticancer,
Ampicillin trihydrate,,Dequalinium dichloride,Daunorubicin hydrochloride,anticancer,
Ampicillin trihydrate,,Dexamethasone,Deflazacort,muscular dystrophy,
Ampicillin trihydrate,,Diacerein,Demecarium bromide,glaucoma,
Ampicillin trihydrate,,Diacetamate,Demeclocycline hydrochloride,antibiotic,
Ampicillin trihydrate,,Diclazuril,Deptropine citrate,antihistamine,
Ampicillin trihydrate,,Diclofenac,Dequalinium dichloride,antibiotic,
Ampicillin trihydrate,,Dicloxacillin sodium salt hydrate,Dexamethasone,antiinflammatory,
Ampicillin trihydrate,,Dicyclomine,Diacerein,arthritis,
Ampicillin trihydrate,,Dicyclomine hydrochloride,Diacetamate,NSAIDs,
Ampicillin trihydrate,,Diethylstilbestrol,Diclazuril,antiprotozoal,
Ampicillin trihydrate,,Diflorasone diacetate,Diclofenac,NSAIDs,
Ampicillin trihydrate,,Digoxin,Dicloxacillin sodium salt hydrate,antibiotic,
Ampicillin trihydrate,,Diloxanide furoate,Dicyclomine,IBD,
Ampicillin trihydrate,,Diltiazem,Dicyclomine hydrochloride,IBD,
Ampicillin trihydrate,,Dimethisoquin hydrochloride,Diethylstilbestrol,anticancer,
Ampicillin trihydrate,,Diphenylpyraline,Diflorasone diacetate,corticosteroid,
Ampicillin trihydrate,,Dipyridamole,Digoxin,heart failure,
Ampicillin trihydrate,,Dirithromycin,Diloxanide furoate,antiamoeba,
Ampicillin trihydrate,,Disulfiram,Diltiazem,antihypertension,
Ampicillin trihydrate,,Doxazosin mesylate,Dimethisoquin hydrochloride,anesthetic,
Ampicillin trihydrate,,Doxorubicin,Diphenylpyraline,antihistamine,
Ampicillin trihydrate,,Doxorubicin hydrochloride,Dipyridamole,anticoagulant ,
Ampicillin trihydrate,,Doxycycline,Dirithromycin,antibiotic,
Ampicillin trihydrate,,Doxycycline hydrochloride,Disulfiram,alcoholism,
Ampicillin trihydrate,,Drospirenone,Doxazosin mesylate,antihypertension,
Ampicillin trihydrate,,Duloxetine,Doxorubicin,antibiotic,
Ampicillin trihydrate,,Ebselen,Doxorubicin hydrochloride,antibiotic,
Ampicillin trihydrate,,Eburnamonine (-),Doxycycline,antibiotic,
Ampicillin trihydrate,,Econazole nitrate,Doxycycline hydrochloride,antibiotic,
Ampicillin trihydrate,,Efavirenz,Drospirenone,contraceptive,
Ampicillin trihydrate,,Enalapril maleate,Duloxetine,antidepressant,
Ampicillin trihydrate,,Enilconazole,Ebselen,"antidiabetic, antiinflammatory",
Anagrelide,,Enoxacin,Eburnamonine (-),antipyschotic,outdated
Anagrelide,,Entacapone,Econazole nitrate,antifungal,
Anagrelide,,Epirizole,Efavirenz,antiviral,
Anagrelide,,Ergonovine maleate,Enalapril maleate,antihypertensive,
Anagrelide,,Ergotamine tartrate,Enilconazole,antifungal,
Anagrelide,,Erlotinib,Enoxacin,antibiotic,
Anastrozole,,Estradiol Valerate,Entacapone,antiparkinson,
Anethole-trithione,,Estramustine,Epirizole,NSAID,
Anethole-trithione,,Estropipate,Ergonovine maleate/ ergometrine,muscle contractor,
Anethole-trithione,,Eszopiclone,Ergotamine tartrate,migraine,
Anethole-trithione,,Ethaverine hydrochloride,Erlotinib,anticancer,
Anethole-trithione,,Ethopropazine,Estradiol Valerate,estrogen,
Anethole-trithione,,Ethopropazine hydrochloride,Estramustine,anticancer,
Anthralin,,Ethoxzolamide,Estropipate,estrogen,
Anthralin,,Etodolac,Eszopiclone,sedative-hypnotic,
Anthralin,,Etofenamate,Ethaverine hydrochloride,antimuscarinic,
Anthralin,,Etomidate,Ethopropazine / profenamine,antiparkinson,
Anthralin,,Etoposide,Ethopropazine hydrochloride,antiparkinson,
Anthralin,,Etretinate,Ethoxzolamide,diurectic,
Anthralin,,Ezetimibe,Etodolac,NSAIDs,
Anthralin,,Fadrozole hydrochloride,Etofenamate,NSAIDs,
Anthralin,,Famciclovir,Etomidate,anesthetic,
Anthralin,,Famprofazone,Etoposide,anticancer,
Anthralin,,Febuxostat,Etretinate,psoriasis,
Anti PD-1 therapy,,Felodipine,Ezetimibe,lipid lowering,
Anti PD-1 therapy,,Fenbendazole,Fadrozole hydrochloride,anticancer,
Anti PD-1 therapy,,Fenbufen,Famciclovir,antiviral,
Anti PD-1 therapy,,Fendiline hydrochloride,Famprofazone,NSAIDs,
Anti‑PD‑1 therapy,,Fenofibrate,Febuxostat,gout,
Anti‑PD‑1 therapy,,Fenspiride,Felodipine,antihypertensive,
Anti‑PD‑1 therapy,,Fentiazac,Fenbendazole,anthelmintic,
Antibiotic,,Fexofenadine HCl,Fenbufen,NSAIDs,
Antibiotics (previous month antibiotics),,Finasteride,Fendiline hydrochloride,antiangina,
Antibiotics (previous month antibiotics),,Fleroxacin,Fenofibrate,lipid lowering,
Anticancer drugs,,Florfenicol,Fenspiride,"asthma, antiallergy",
Anticancer drugs,,Floxuridine,Fentiazac,NSAIDs,
Antidiabetic drugs,,Flucloxacillin sodium,Fexofenadine HCl,antihistamine,
Aprepitant,,Fluconazole,Finasteride,BPH,
Aprepitant,,Flucytosine,Fleroxacin,antibiotic,
Aprepitant,,Fludarabine,Florfenicol,antibiotic,
Aprepitant,,Fludarabine de phosphate,Floxuridine,anticancer,
Aprepitant,,Flufenamic acid,Flucloxacillin sodium,antibiotic,
Aprepitant,,Flumequine,Fluconazole,antifungal,
Aprepitant,,Flunarizine dihydrochloride,Flucytosine,antifungal,
Aprepitant,,Flunixin meglumine,Fludarabine,anticancer,
Aprepitant,,Fluorometholone,Fludarabine phosphate,anticancer,
Aprepitant,,Fluphenazine,Flufenamic acid,analgesic,
AQ4N,,Fluphenazine dihydrochloride,Flumequine,antibiotic,
Ara G hydrate,,Fluspirilen,Flunarizine dihydrochloride,migraine,
Ara G hydrate,,Fluvoxamine maleate,Flunixin meglumine,NSAIDs,
Aripiprazole,,Furaltadone hydrochloride,Fluorometholone,corticosteroid,
Aripiprazole,,Furazolidone,Fluphenazine,antipsychotic,
Aripiprazole,,Fusidic acid sodium salt,Fluphenazine dihydrochloride,antipyschotic,
Asenapine maleate,,Gatifloxacin,Fluspirilene,antipsychotic,
Asenapine maleate,,GBR 12909 dihydrochloride,Fluvoxamine maleate,OCD,
Asenapine maleate,,Gemcitabine,Furaltadone hydrochloride,antibiotic,veterinary
Aspirin,,Gentamicine sulfate,Furazolidone,antibiotic,
Aspirin,,Glafenine hydrochloride,Fusidic acid sodium salt,antibiotic,
Aspirin,,Gliclazide,Gatifloxacin,antibiotic,
Aspirin,,Glipizide,GBR 12909 dihydrochloride,-,
Aspirin,,Gliquidone,Gemcitabine,anticancer,
Aspirin,,Glycyrrhizic acid,Gentamicin sulfate,antibacterial-psoriasis,
Aspirin,,Guanadrel sulfate,Glafenine hydrochloride,analgesic,withdrawn
Aspirin,,Halofantrine hydrochloride,Gliclazide,antidiabetic-sulfonylurea,
Astemizole,,Haloperidol,Glipizide,antidiabetic-sulfonylurea,
Astemizole,,Haloprogin,Gliquidone,antidiabetic-sulfonylurea,
Astemizole,,Hexachlorophene,Glycyrrhizic acid,"antiinflammatory, antiallergy, antiulcer, antidiabetic, etc",
Astemizole,,Hexestrol,Guanadrel sulfate,antihypertensive,
Astemizole,,Hexetidine,Halofantrine hydrochloride,antimalarial,
Astemizole,,Hycanthone,Haloperidol,antipsychotic,
Astemizole,,Hydrocortisone base,Haloprogin,antifungal,
Astemizole,,Hypochlorite,Hexachlorophene,antiseptic,
Astemizole,,Ibutilide fumarate,Hexestrol,anticancer,withdrawn
Astemizole,,Idarubicin,Hexetidine,antiseptic,
Atovaquone,,Idebenone,Hycanthone,toxic,no longer used
Atovaquone,,Idoxuridine,Hydrocortisone base,"glucocorticoid, antiinflammatory",
Auranofin,,Imatinib,Hypochlorite,antibiotic,
Auranofin,,Imipenem,Ibutilide fumarate,antiarrhythmic,
Auranofin,,Imiquimod,Idarubicin,anticancer,
Auranofin,,Indomethacin,Idebenone,visual impairment,
Auranofin,,Infliximab,Idoxuridine,antiviral,
Auranofin,,Iocetamic acid,Imatinib,anticancer,
Auranofin,,Iohexol,Imipenem,antibiotic,
Auranofin,,Iopanoic acid,Imiquimod,anticancer,
Auranofin,,Irbesartan,Indomethacin,antidiuretic,
Auranofin,,Irinotecan,Infliximab,antiinflammatory,
Auranofin,,Irsogladine maleate,Iocetamic acid,diagnostic aid,
Auranofin,,Isoconazole,Iohexol,diagnostic aid,
Auranofin,,Itraconazole,Iopanoic acid,diagnostic aid,
Auranofin,,Ketorolac tromethamine,Irbesartan,antihypertensive,
Auranofin,,Lacidipine,Irinotecan,anticancer,
Auranofin,,Lactulose,Irsogladine maleate,increase gastric mucus ,
Auranofin,,Lansoprazole,Isoconazole,antifungal,
Auranofin,,Latamoxef,Itraconazole,antifungal,
Auranofin,,Laxatives,Ketorolac tromethamine,analgesic,
Auranofin,,Leflunomide,Lacidipine,antihypertensive,
Auranofin,,Levodopa,Lactulose,constipation,
Auranofin,,Levofloxacin,Lansoprazole,PPI,
Auranofin,,Levonorgestrel,Latamoxef,antibiotic,
Auranofin,,Lidoflazine,Laxatives,-,
Auranofin,,Linagliptin,Leflunomide,arthritis,
Auranofin,,Lincomycin hydrochloride,Levodopa,antiparkinson,
Auranofin,,Linezolid,Levofloxacin,antibiotic,
Auranofin,,Lofexidine ,Levonorgestrel,contraceptive,
Auranofin,,Lomefloxacin hydrochloride,Lidoflazine,cerebral ischemia,
Auranofin,,Loperamide hydrochloride,Linagliptin,antidiabetic,
Auranofin,,Loracarbef,Lincomycin hydrochloride,antibiotic,
Auranofin,,Losartan,Linezolid,antibiotic,
Auranofin,,Loxapine succinate,Lofexidine ,nonopioid,
Auranofin,,Lymecycline,Lomefloxacin,antibiotic,
Avermectin B1a,,Lynestrenol,Lomefloxacin hydrochloride,antibiotic,
Avermectin B1a,,Mafenide hydrochloride,Loperamide hydrochloride,antidiarrheal,
Avermectin B1a,,Mebendazole,Loracarbef,antibiotic,
Avermectin B1a,,"Mebhydroline 1,5-naphtalenedisulfonate",Losartan,antidiabetic,
Avermectin B1a,,Meclocycline sulfosalicylate,Loxapine succinate,antipsychotic,
Avermectin B1a,,Meclofenamic acid sodium salt monohydrate,Lymecycline,antibiotic,
Avermectin B1a,,Meclozine dihydrochloride,Lynestrenol,contraceptive,
Avermectin B1a,,Mefloquine,Mafenide,antibiotic,
Avermectin B1a,,Mefloquine hydrochloride,Mafenide hydrochloride,antibiotic,
Avermectin B1a,,Megestrol acetate,Mebendazole,antihelmintic,
Avermectin B1a,,Melphalan,"Mebhydroline 1,5-naphtalenedisulfonate",antihistamine,
Azacytidine-5,,Memantine,Meclocycline sulfosalicylate,antibiotic,
Azaguanine-8,,Menadione,Meclofenamic acid sodium salt monohydrate,arthritis,
Azaguanine-8,,Merbromin,Meclozine dihydrochloride,antihistamine,
Azaguanine-8,,Meropenem,Mefloquine,antimalarial,
Azaguanine-8,,Mesalazine,Mefloquine hydrochloride,antimalarial,
Azaguanine-8,,Mesoridazine besylate,Megestrol acetate,anticancer,
Azaguanine-8,,Metaxalone,Melphalan,anticancer,
Azaguanine-8,,Metergoline,Memantine,antialzheimer,
Azaguanine-8,,Metformin,Menadione,"coagulant, vit k",
Azaguanine-8,,Methacycline hydrochloride,Merbromin,antiseptic,
Azaguanine-8,,Methantheline bromide,Meropenem,antibiotic,
Azaguanine-8,,Methiazole,Mesalazine,ulcerative colitis,
Azaguanine-8,,Methiothepin maleate,Mesoridazine besylate,antipsychotic,
Azathioprine,,Methotrexate,Metaxalone,muscle relaxant,
Azathioprine,,Methotrimeprazine maleat salt,Metergoline,serotonin antagonist,
Azathioprine,,Methsuximide,Metformin,antidiabetic,
Azathioprine,,Methyl benzethonium chloride,Methacycline hydrochloride,antibiotic,
Azathioprine,,Methylphenidate,Methantheline bromide,antispasmodic,
Azathioprine,,Methysergide maleate,Methimazole,antithyroid,
Azathioprine,,Metitepine maleate,Methiothepin maleate,serotonin antagonist,
Azelastine HCl,,Metixene hydrochloride,Methotrexate,anticancer,
Azelastine HCl,,Metoprolol tartrate,Methotrimeprazine maleat salt,antipsychotic,
Azelastine HCl,,Mevastatin,Methsuximide,anticonvulsant,
Azelastine HCl,,Miconazole,Methyl benzethonium chloride,antiseptic,
Azithromycin,,Mifepristone,Methylphenidate,ADHD,
Azithromycin,,Minocycline hydrochloride,Methysergide maleate,migraine,
Azithromycin,,Mitomycin C,Metitepine maleate,serotonin antagonist,
Azithromycin,,Mitotane,Metixene hydrochloride,antiparkinson,
Azithromycin,,Mitoxantrone,Metoprolol tartrate,antihypertensive,
Azithromycin,,Mometasone furoate,Mevastatin,lipid lowering,
Azithromycin,,Monensin sodium salt,Miconazole,antifungal,
Azithromycin,,Montelukast,Mifepristone,contraceptive,
Azithromycin,,Moricizine hydrochloride,Minocycline hydrochloride,antiarrhythmic,
Azithromycin,,Moxalactam disodium salt,Mitomycin C,anticancer,
Azithromycin,,Moxifloxacin,Mitotane,cushing ,
Azithromycin,,Mycophenolate mofetil,Mitoxantrone,anticancer,
Azithromycin,,Nabumetone,Mometasone furoate,corticosteroid,
Azithromycin,,Nadifloxacin,Monensin sodium,antibiotic,
Azithromycin,,Nafcillin sodium salt monohydrate,Monensin sodium salt,antibiotic,
Azithromycin,,Nafronyl oxalate,Montelukast,asthma,
Azithromycin,,Naftopidil,Moricizine hydrochloride,antiarrhythmic,
Azithromycin,,Naftopidil dihydrochloride,Moxalactam,antibiotic,
Azithromycin,,Nalidixic acid sodium salt,Moxalactam disodium salt,antibiotic,
Azithromycin,,Naproxen(+),Moxifloxacin,antibiotic,
Azithromycin,,Nateglinide,Mycophenolate mofetil,autoimmune disease,
Azithromycin,,Nefazodone HCl,Nabumetone,NSAIDs,
Azithromycin,,Nelarabine,Nadifloxacin,antibiotic,
Azithromycin,,Neocarzinostatin,Nafcillin sodium salt monohydrate,antibiotic,
Azithromycin,,Neostigmine bromide,Nafronyl oxalate,vasodilator,
Azithromycin,,Nevirapine,Naftopidil,BPH,
Azithromycin,,Nicergoline,Naftopidil dihydrochloride,BPH,
Azithromycin,,Niclosamide,Nalidixic acid sodium salt,antibiotic,
Azithromycin,,Nicorandil,Naproxen(+),NSAIDs,
Azithromycin,,Nifuroxazide,Nateglinide,antidiabetic,
Azithromycin,,Nifurtimox,Nefazodone HCl,antidepressant,
